
jshdb@kjd.jdf,"sd jshd ajhsbd",sdjcbsjc,"костюм в количестве: 2,  по цене 1000куртка в количестве: 1,  по цене 500водолазка в количестве: 4,  по цене 250",
email@jshd.ru,фио,"адрес доставки","костюм в количестве: 1,  по цене 1000куртка в количестве: 4,  по цене 500",
mail@le.ty,fio,address,"костюм в количестве: 1,  по цене 1000куртка в количестве: 8,  по цене 500водолазка в количестве: 4,  по цене 250",6000
hgvsd@sd.ru,"kjds jsdub jadshb",kdsjcb,"костюм в количестве: 1,  по цене 1000",1000
hgvsd@sd.ru,"kjds jsdub jadshb",kdsjcb,"костюм в количестве: 1,  по цене 1000",1000
sdknc@jhsdb.sdfj,"sdjcb sdkjc jhsdb",sdj,"костюм в количестве: 2,  по цене 1000",2000
sdknc@jhsdb.sdfj,"sdjcb sdkjc jhsdb",sdj,"костюм в количестве: 2,  по цене 1000",2000
sdknc@jhsdb.sdfj,"sdjcb sdkjc jhsdb",sdj,"костюм в количестве: 2,  по цене 1000",2000
sdknc@jhsdb.sdfj,"sdjcb sdkjc jhsdb",sdj,"костюм в количестве: 2,  по цене 1000",2000
nastya@mail.ru,"Nastya Terziyan",Kazan,"костюм в количестве: 5,  по цене 1000куртка в количестве: 6,  по цене 500",8000
sahgxv@jhadbc.ry,sjdhc,sajhxb,"костюм в количестве: 2,  по цене 1000",2000
na@wjed.rt,"hzc asnhx ushdc","jshc jsdc sdhc","костюм в количестве: 4,  по цене 1000",4000
lili@li.li,"li li li",li,"костюм в количестве: 5,  по цене 1000куртка в количестве: 10,  по цене 500",10000
fas@da.rt,wdhbnx,jhdbnxjw,"водолазка в количестве: 10,  по цене 250",2500
asd@sad.ru,asd,asd,"костюм в количестве: 2,  по цене 1000",2000
